workType,filename,parent,extent,series,title,titleAlternative,description,dateCreated,datePublished,creator,physicalDescription,physicalFormat,subjectPlace,subjectName,resourceType,collectionCallNumber,publisher,publisherHomepage,donorProvenance,rightsStatement,rightsHolder,accessRights,rightsStatus,accessionNumber,masterFilename,boxFolder
work,ms0020_neg_bv_56-43_06.tif,row:24,,,Auction: Untitled,,Unprinted/unpublished,1956,,,35 mm,http://vocab.getty.edu/aat/300128343,https://www.geonames.org/5364444/lake-berryessa.html,,http://purl.org/dc/dcmitype/Image,,,,,,,,,ms0020_neg_bv_56-43_06,ms0020_neg_bv_56-43_06.tif,"Box 512, Folder 56-43"
work,ms0020_neg_bv_56-43_07.tif,row:24,,,Auction: Untitled,,Unprinted/unpublished,1956,,,35 mm,http://vocab.getty.edu/aat/300128343,https://www.geonames.org/5364444/lake-berryessa.html,,http://purl.org/dc/dcmitype/Image,,,,,,,,,ms0020_neg_bv_56-43_07,ms0020_neg_bv_56-43_07.tif,"Box 512, Folder 56-43"
work,ms0020_neg_bv_56-43_08.tif,row:24,,,Auction: Untitled,,Unprinted/unpublished,1956,,,35 mm,http://vocab.getty.edu/aat/300128343,https://www.geonames.org/5364444/lake-berryessa.html,,http://purl.org/dc/dcmitype/Image,,,,,,,,,ms0020_neg_bv_56-43_08,ms0020_neg_bv_56-43_08.tif,"Box 512, Folder 56-43"
work,ms0020_neg_bv_56-43_09.tif,row:24,,,Auction: Untitled,,Unprinted/unpublished,1956,,,35 mm,http://vocab.getty.edu/aat/300128343,https://www.geonames.org/5364444/lake-berryessa.html,,http://purl.org/dc/dcmitype/Image,,,,,,,,,ms0020_neg_bv_56-43_09,ms0020_neg_bv_56-43_09.tif,"Box 512, Folder 56-43"
work,ms0020_neg_bv_56-43_10.tif,row:24,,,Auction: Untitled,,Unprinted/unpublished,1956,,,35 mm,http://vocab.getty.edu/aat/300128343,https://www.geonames.org/5364444/lake-berryessa.html,,http://purl.org/dc/dcmitype/Image,,,,,,,,,ms0020_neg_bv_56-43_10,ms0020_neg_bv_56-43_10.tif,"Box 512, Folder 56-43"
work,ms0020_neg_bv_56-43_11.tif,row:24,,,"Crowd at auction two girls in matching outfits, Berryessa Valley",,,1956,1956,,35 mm,http://vocab.getty.edu/aat/300128343,https://www.geonames.org/5364444/lake-berryessa.html,,http://purl.org/dc/dcmitype/Image,,,,,,,,,ms0020_neg_bv_56-43_11,ms0020_neg_bv_56-43_11.tif,"Box 512, Folder 56-43"
work,ms0020_neg_bv_56-43_12.tif,row:24,,,Auction: Untitled,,Unprinted/unpublished,1956,,,35 mm,http://vocab.getty.edu/aat/300128343,https://www.geonames.org/5364444/lake-berryessa.html,,http://purl.org/dc/dcmitype/Image,,,,,,,,,ms0020_neg_bv_56-43_12,ms0020_neg_bv_56-43_12.tif,"Box 512, Folder 56-43"
work,ms0020_neg_bv_56-43_13.tif,row:24,,,Auction: Untitled,,Unprinted/unpublished,1956,,,35 mm,http://vocab.getty.edu/aat/300128343,https://www.geonames.org/5364444/lake-berryessa.html,,http://purl.org/dc/dcmitype/Image,,,,,,,,,ms0020_neg_bv_56-43_13,ms0020_neg_bv_56-43_13.tif,"Box 512, Folder 56-43"
work,ms0020_neg_bv_56-43_14.tif,row:24,,,Auction: Untitled,,Unprinted/unpublished,1956,,,35 mm,http://vocab.getty.edu/aat/300128343,https://www.geonames.org/5364444/lake-berryessa.html,,http://purl.org/dc/dcmitype/Image,,,,,,,,,ms0020_neg_bv_56-43_14,ms0020_neg_bv_56-43_14.tif,"Box 512, Folder 56-43"
work,ms0020_neg_bv_56-43_15.tif,row:24,,,Auction: Untitled,,Unprinted/unpublished,1956,,,35 mm,http://vocab.getty.edu/aat/300128343,https://www.geonames.org/5364444/lake-berryessa.html,,http://purl.org/dc/dcmitype/Image,,,,,,,,,ms0020_neg_bv_56-43_15,ms0020_neg_bv_56-43_15.tif,"Box 512, Folder 56-43"
work,ms0020_neg_bv_56-43_16.tif,row:24,,,Auction: Untitled,,Unprinted/unpublished,1956,,,35 mm,http://vocab.getty.edu/aat/300128343,https://www.geonames.org/5364444/lake-berryessa.html,,http://purl.org/dc/dcmitype/Image,,,,,,,,,ms0020_neg_bv_56-43_16,ms0020_neg_bv_56-43_16.tif,"Box 512, Folder 56-43"
work,ms0020_neg_bv_56-43_17.tif,row:24,,,Auction: Untitled,,Unprinted/unpublished,1956,,,35 mm,http://vocab.getty.edu/aat/300128343,https://www.geonames.org/5364444/lake-berryessa.html,,http://purl.org/dc/dcmitype/Image,,,,,,,,,ms0020_neg_bv_56-43_17,ms0020_neg_bv_56-43_17.tif,"Box 512, Folder 56-43"
